                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1306,                 2.6746,                 1.7256,                0.33563,                0.61981,                0.51447,                0.41393,                0.84644,                 2.3998,                 1.5441,             0.00011542,             0.00011542,             0.00011542
                     69,                 1.1092,                 2.6893,                 1.7164,                0.42791,                0.59894,                0.52695,                0.41689,                 0.9019,                 2.4334,                 1.5594,             0.00011212,             0.00011212,             0.00011212
                     70,                 1.1292,                 2.6625,                  1.747,                0.37551,                0.60547,                0.53842,                0.43937,                0.79093,                 2.3819,                 1.4948,             0.00010882,             0.00010882,             0.00010882
                     71,                 1.1349,                 2.6511,                 1.7434,                0.44266,                0.60244,                0.51293,                0.41247,                0.85471,                 2.3457,                 1.5268,             0.00010553,             0.00010553,             0.00010553
                     72,                 1.1223,                 2.7037,                 1.7279,                0.33143,                0.60658,                0.52482,                0.43371,                0.82458,                 2.3041,                 1.5151,             0.00010223,             0.00010223,             0.00010223
                     73,                 1.1055,                  2.625,                 1.7167,                0.32107,                0.68143,                0.51953,                0.43022,                0.80325,                 2.3252,                 1.5085,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                 1.1165,                 2.5945,                 1.7162,                0.40974,                0.63127,                0.54257,                0.44197,                0.83578,                 2.3078,                 1.5321,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                 1.0765,                 2.5538,                 1.6754,                0.41973,                0.64887,                0.57266,                0.46008,                0.82476,                 2.2846,                 1.5119,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                  1.049,                 2.5269,                 1.6662,                0.42604,                0.63164,                0.57067,                0.46055,                0.81318,                 2.2483,                 1.5148,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                 1.0888,                 2.5459,                 1.6865,                0.38292,                0.61266,                0.56015,                0.45962,                0.80183,                 2.2217,                 1.5228,             8.5748e-05,             8.5748e-05,             8.5748e-05
